Date,Time,Temperature,wind_direction,Ambient Temperature (in °C),Delta Temp (Y),Log (Y),Temperature - 1 (in °C),Delta Temp (Y-1),North,East,West,South,Wind Impact (Should be linear variation & wind speed),FACE-A,FACE-B,FACE-C
2018-02-03,15:00:00,67,150,29,38,3.6375861597263857,68,39,0,0,0,1,0.8660254037844387,1,0,0
2018-02-03,15:00:00,61,150,29,32,3.4657359027997265,66,37,0,0,0,1,0.8660254037844387,0,1,0
2018-02-03,15:00:00,60,150,29,31,3.4339872044851463,63,34,0,0,0,1,0.8660254037844387,0,0,1
2018-02-03,15:00:00,52,150,29,23,3.1354942159291497,55,26,0,1,0,0,0.5000000000000001,1,0,0
2018-02-03,15:00:00,44,150,29,15,2.70805020110221,49,20,0,1,0,0,0.5000000000000001,0,1,0
2018-02-03,15:00:00,34,150,29,5,1.6094379124341003,32,3,1,0,0,0,0.0,1,0,0
2018-02-03,15:00:00,33,150,29,4,1.3862943611198906,40,11,1,0,0,0,0.0,0,1,0
2018-02-03,15:00:00,33,150,29,4,1.3862943611198906,35,6,1,0,0,0,0.0,0,0,1
2018-02-03,15:30:00,51,30,28,23,3.1354942159291497,58,30,0,0,1,0,0.0,1,0,0
2018-02-03,15:30:00,51,30,28,23,3.1354942159291497,57,29,0,0,1,0,0.0,0,1,0
2018-02-03,15:30:00,61,30,28,33,3.4965075614664802,67,39,0,0,0,1,0.0,1,0,0
2018-02-03,15:30:00,56,30,28,28,3.332204510175204,61,33,0,0,0,1,0.0,0,1,0
2018-02-03,15:30:00,55,30,28,27,3.295836866004329,60,32,0,0,0,1,0.0,0,0,1
2018-02-03,15:30:00,48,30,28,20,2.995732273553991,52,24,0,1,0,0,0.5000000000000001,1,0,0
2018-02-03,15:30:00,42,30,28,14,2.6390573296152584,44,16,0,1,0,0,0.5000000000000001,0,1,0
2018-02-03,15:30:00,29,30,28,1,0.0,34,6,1,0,0,0,0.8660254037844387,1,0,0
2018-02-03,15:30:00,30,30,28,2,0.6931471805599453,33,5,1,0,0,0,0.8660254037844387,0,1,0
2018-02-03,15:30:00,30,30,28,2,0.6931471805599453,33,5,1,0,0,0,0.8660254037844387,0,0,1
2018-02-05,10:00:00,42,260,25,17,2.833213344056216,51,26,0,0,1,0,0.984807753012208,1,0,0
2018-02-05,10:00:00,39,260,25,14,2.6390573296152584,51,26,0,0,1,0,0.984807753012208,0,1,0
2018-02-05,10:00:00,50,260,25,25,3.2188758248682006,61,36,0,0,0,1,0.17364817766693041,1,0,0
2018-02-05,10:00:00,58,260,25,33,3.4965075614664802,56,31,0,0,0,1,0.17364817766693041,0,1,0
2018-02-05,10:00:00,57,260,25,32,3.4657359027997265,55,30,0,0,0,1,0.17364817766693041,0,0,1
2018-02-05,10:00:00,55,260,25,30,3.4011973816621555,48,23,0,1,0,0,0.0,1,0,0
